orf6.10	C6_01190C_A	VPS15	Protein involved in retrograde endosome-to-Golgi protein transport; required for normal virulence	autophagy of peroxisome||inositol lipid-mediated signaling||late endosome to vacuole transport||macroautophagy||pathogenesis||positive regulation of transcription elongation from RNA polymerase II promoter||protein phosphorylation||protein retention in Golgi apparatus||protein targeting to vacuole||retrograde transport, endosome to Golgi||vacuole inheritance	nucleus-vacuole junction||phosphatidylinositol 3-kinase complex, class III, type I||phosphatidylinositol 3-kinase complex, class III, type II||vacuole-isolation membrane contact site	ATP binding||protein serine/threonine kinase activity||ubiquitin binding
orf6.1090	C3_02310W_A	MEP1	Ammonium permease; Mep1 more efficient permease than Mep2, Mep2 has additional regulatory role; 11 predicted transmembrane regions; low mRNA abundance; hyphal downregulated; flow model biofilm induced	ammonium transmembrane transport||ammonium transport||cellular response to nitrogen starvation||nitrogen utilization	plasma membrane	ammonium transmembrane transporter activity
orf6.1091	C3_02320W_A	ILV2	Putative acetolactate synthase; regulated by Gcn4p; induced by amino acid starvation (3-AT treatment); stationary phase enriched protein	isoleucine biosynthetic process||valine biosynthetic process	acetolactate synthase complex||mitochondrion	acetolactate synthase activity||flavin adenine dinucleotide binding||magnesium ion binding||thiamine pyrophosphate binding
orf6.1092	CR_06460W_A	GST3	Glutathione S-transferase; expression regulated upon white-opaque switch; induced by human neutrophils; peroxide-induced; induced by alpha pheromone in SpiderM medium; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.1093	CR_06450W_A		Ortholog(s) have polynucleotide 5'-hydroxyl-kinase activity	chromatin silencing at centromere||cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)||termination of RNA polymerase I transcription	mating-type region heterochromatin||nuclear pericentric heterochromatin||nuclear telomeric heterochromatin||nucleolar chromatin||perinucleolar compartment	polynucleotide 5'-hydroxyl-kinase activity
orf6.1094	CR_04720C_A		Putative ATPase and nucleosome spacing factor; heterozygous null mutant displays sensitivity to virgineone	DNA repair||chromatin silencing at telomere||histone exchange||nucleosome mobilization||nucleosome positioning||positive regulation of cellular response to phosphate starvation||positive regulation of transcription by RNA polymerase II||regulation of chromosome segregation||regulation of nucleosome density||regulation of transcription from RNA polymerase II promoter in response to stress||telomere maintenance via recombination||transcription by RNA polymerase II	Ino80 complex	ATP binding||ATP-dependent 3'-5' DNA helicase activity||ATPase activity||DNA binding||nucleic acid binding
orf6.1095	C2_10360C_A	HEM3	Hydroxymethylbilane synthase; converts 4-porphobilinogen to hydroxymethylbilane in heme biosynthesis; induced in high iron, CO2; alkaline repressed; regulated by Sef1, Sfu1, and Hap43; rat catheter and Spider biofilm induced	heme biosynthetic process||pathogenesis	cellular_component	hydroxymethylbilane synthase activity
orf6.1096	CR_02330C_A	KAR4	Transcription factor; required for gene regulation in response to pheromones; ortholog of S. cerevisiae Kar4; role in karyogamy; opaque-specific, a-specific; induced by alpha factor	karyogamy involved in conjugation with cellular fusion||meiotic cell cycle||nucleobase-containing compound metabolic process||positive regulation of transcription from RNA polymerase II promoter by pheromones	cellular_component	DNA-binding transcription factor activity||methyltransferase activity
orf6.1097	CR_02340W_A		Protein of unknown function; induced by alpha pheromone in SpiderM medium	biological_process	cellular_component	molecular_function
orf6.1098	CR_02350C_A	GEF2	Member of the voltage chloride channel family; Hap43p-repressed gene	cellular copper ion homeostasis||chloride transport||transmembrane transport	plasma membrane	ion channel activity||voltage-gated chloride channel activity
orf6.11	CR_08200C_A		Putative MRP/CFTR-subfamily ABC transporter; member of multidrug resistance-associated protein (MRP) subfamily of ABC family; similar to S. cerevisiae Bpt1p	bilirubin transport||cadmium ion transport||transmembrane transport||transport||vacuole fusion, non-autophagic	fungal-type vacuole membrane||integral component of membrane	ATP binding||ATPase activity, coupled to transmembrane movement of substances||bilirubin transmembrane transporter activity||cadmium ion transmembrane transporter activity
orf6.1100	C6_04340W_A		Dolichol-P-Man dependent alpha(1-3) mannosyltransferase; role in the synthesis of dolichol-linked oligosaccharide donor for N-linked glycosylation of proteins; rat catheter biofilm repressed	oligosaccharide-lipid intermediate biosynthetic process||protein glycosylation	endoplasmic reticulum||integral component of endoplasmic reticulum membrane	dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase activity
orf6.1101	C6_04330W_A	NOP8	Ortholog of S. cereviiae Nop8; has a role in ribosomal large subunit biogenesis; rat catheter and Spider biofilm induced	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	nucleolus	nucleic acid binding||nucleotide binding
orf6.1102	C6_04320C_A		Ortholog of <i>C. parapsilosis CDC317</i> : CPAR2_601110, <i>C. dubliniensis CD36</i> : Cd36_64660, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_119969 and <i>Lodderomyces elongisporus NRLL YB-4239</i> : LELG_04881	biological_process	cellular_component	molecular_function
orf6.1103	C6_04310W_A	PEX11	Putative peroxisomal membrane protein; role in fatty acid oxidation; expression is Tac1-regulated; Hms1p-dependent induction by geldamycin; Spider biofilm induced	fatty acid metabolic process||fatty acid oxidation||peroxisome fission	endoplasmic reticulum||integral component of peroxisomal membrane||peroxisomal importomer complex||peroxisomal membrane	molecular_function
orf6.1104	C1_09190C_A	DAK2	Putative dihydroxyacetone kinase; repressed by yeast-hypha switch; fluconazole-induced; caspofungin repressed; protein enriched in stationary phase yeast cultures; flow model biofilm induced; rat catheter and Spider biofilm repressed	cellular response to toxic substance||glycerol metabolic process	cellular_component	ATP binding||glycerone kinase activity
orf6.1105	C1_09180W_A	LYS143	Zn(II)2Cys6 transcription factor; ortholog of S. cerevisiae Lys14 involved in the regulation of lysine biosynthesis genes	positive regulation of lysine biosynthetic process via alpha-aminoadipate and saccharopine||positive regulation of transcription by RNA polymerase II||regulation of transcription, DNA-templated	nucleus	DNA-binding transcription factor activity||DNA-binding transcription factor activity, RNA polymerase II-specific||RNA polymerase II proximal promoter sequence-specific DNA binding||zinc ion binding
orf6.1106	C1_09180W_A	LYS143	Zn(II)2Cys6 transcription factor; ortholog of S. cerevisiae Lys14 involved in the regulation of lysine biosynthesis genes	positive regulation of lysine biosynthetic process via alpha-aminoadipate and saccharopine||positive regulation of transcription by RNA polymerase II||regulation of transcription, DNA-templated	nucleus	DNA-binding transcription factor activity||DNA-binding transcription factor activity, RNA polymerase II-specific||RNA polymerase II proximal promoter sequence-specific DNA binding||zinc ion binding
orf6.1107	C1_09170W_A	CTA8	Essential transcription factor, mediates heat shock transcriptional induction; in the absence of heat stress, Cta8p levels are modulated by growth temperature to regulate basal expression of genes involved in protein folding	cellular response to heat||negative regulation of TOR signaling||positive regulation of transcription by RNA polymerase II||positive regulation of transcription, DNA-templated||regulation of establishment of protein localization to chromosome	nucleus	DNA-binding transcription factor activity
orf6.1108	C5_00770C_A	FOL1	Putative dihydroneopterin aldolase (dihydro-6-hydroxymethylpterin pyrophosphokinase); fungal-specific (no human or murine homolog)	tetrahydrofolate biosynthetic process	mitochondrial envelope	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity||dihydroneopterin aldolase activity||dihydropteroate synthase activity
orf6.1109	C5_00780C_A		Protein of unknown function; mutants are viable; Spider biofilm induced	biological_process	cellular_component	molecular_function
orf6.111	C1_06520C_A	BPH1	Ortholog of S. cerevisiae Bph1; a putative ortholog of human Chediak-Higashi syndrome protein and murine beige gene implicated in disease syndromes involving defective lysosomal trafficking; mutant is viable	fungal-type cell wall organization||intracellular protein transport||regulation of vacuole organization||response to pH	cytosol||extrinsic component of membrane	molecular_function
orf6.1110	C5_00790C_A		Putative RNA-binding protein; transcript is upregulated in an RHE model of oral candidiasis	CUT catabolic process||antisense RNA transcript catabolic process||mRNA 3'-end processing||nuclear mRNA surveillance||snRNA 3'-end processing||snoRNA 3'-end processing||tRNA 3'-end processing||termination of RNA polymerase II transcription, exosome-dependent||termination of RNA polymerase II transcription, poly(A)-coupled	Nrd1 complex	RNA polymerase II C-terminal domain binding||nucleotide binding||protein domain specific binding||transcription regulatory region RNA binding
orf6.1112	C5_00790C_A		Putative RNA-binding protein; transcript is upregulated in an RHE model of oral candidiasis	CUT catabolic process||antisense RNA transcript catabolic process||mRNA 3'-end processing||nuclear mRNA surveillance||snRNA 3'-end processing||snoRNA 3'-end processing||tRNA 3'-end processing||termination of RNA polymerase II transcription, exosome-dependent||termination of RNA polymerase II transcription, poly(A)-coupled	Nrd1 complex	RNA polymerase II C-terminal domain binding||nucleotide binding||protein domain specific binding||transcription regulatory region RNA binding
orf6.1114	C6_03710W_A	ALS9	ALS family cell-surface glycoprotein; expressed during infection of human epithelial cells; confers laminin adhesion to S. cerevisiae; highly variable; putative GPI-anchor; Hap43-repressed	cell adhesion||cell adhesion involved in multi-species biofilm formation||cell adhesion involved in single-species biofilm formation||cellular response to ethanol||cellular response to heat||cellular response to hydrogen peroxide||coflocculation||flocculation via cell wall protein-carbohydrate interaction	cell surface||fungal-type cell wall	mannose binding
orf6.1115	C6_03700W_A	ALS1	Cell-surface adhesin; adhesion, virulence, immunoprotective roles; band at hyphal base; Rfg1, Ssk1, Spider biofilm induced; flow model biofilm repressed; CAI-4 strain background effects; promoter bound Bcr1, Tec1, Efg1, Ndt80, and Brg1	adhesion of symbiont to host||cell adhesion||cell adhesion involved in multi-species biofilm formation||cell adhesion involved in single-species biofilm formation||cell-cell adhesion||cell-cell adhesion involved in flocculation||cellular copper ion homeostasis||cellular response to neutral pH||entry into host cell||filamentous growth||filamentous growth of a population of unicellular organisms||filamentous growth of a population of unicellular organisms in response to neutral pH||hyphal growth||induction by symbiont of host defense response||pathogenesis||positive regulation of flocculation||single-species biofilm formation on inanimate substrate	cell surface||fungal-type cell wall||hyphal cell wall||yeast-form cell wall	fibronectin binding||laminin binding||peptide binding
orf6.1117	C5_04730C_A	SSD1	Protein with role in resistance to host antimicrobial peptides; virulence role in murine infection; functional homolog of S. cerevisiae Ssd1p, which suppresses various mutant phenotypes; constitutively expressed and not cell-cycle regulated	evasion or tolerance of host immune response||intracellular mRNA localization||negative regulation of translation||pathogenesis||regulation of fungal-type cell wall organization	P-body||cellular bud neck||cytoplasmic stress granule||nucleus	mRNA 3'-UTR binding||mRNA 5'-UTR binding||translation repressor activity, mRNA regulatory element binding
orf6.1119	C5_04720C_A		Ortholog(s) have GTP cyclohydrolase I activity and role in folic acid-containing compound biosynthetic process	folic acid-containing compound biosynthetic process||tetrahydrofolate biosynthetic process	cytoplasm	GTP cyclohydrolase I activity
orf6.112	C1_10070C_A	MNN23	Alpha-1,2-mannosyltransferase; mutants hypersensitive to toxic ergosterol analog, amphotericin B, calcofluor white, growth at 42 degrees and have decreased cell wall mannan; flow model biofilm induced	cellular response to drug||mannan biosynthetic process||protein mannosylation	cellular_component	transferase activity, transferring glycosyl groups
